recipeProcess_id,recipeProcess_recipeId,recipeProcess_no1,recipeProcess_image1,recipeProcess_no2,recipeProcess_image2,recipeProcess_no3,recipeProcess_image3,recipeProcess_no4,recipeProcess_image4,recipeProcess_no5,recipeProcess_image5,recipeProcess_no6,recipeProcess_image6,recipeProcess_no7,recipeProcess_image7,recipeProcess_no8,recipeProcess_image8,recipeProcess_no9,recipeProcess_image9,recipeProcess_no10,recipeProcess_image10,recipeProcess_no11,recipeProcess_image11,recipeProcess_no12,recipeProcess_image12,recipeProcess_no13,recipeProcess_image13,recipeProcess_no14,recipeProcess_image14,recipeProcess_no15,recipeProcess_image15,recipeProcess_no16,recipeProcess_image16,recipeProcess_no17,recipeProcess_image17,recipeProcess_no18,recipeProcess_image18,recipeProcess_no19,recipeProcess_image19,recipeProcess_no20,recipeProcess_image20
recipeProcess-421,recipe-421,"1. 시금치는 뚜껑을 열고 데친 후, 물기를 뺀다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00121_1.png,"2. 마, 시금치, 두유를 함께 갈아 체에 거른다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00121_2.png,3. 가열된 팬에 버터를 두르고 약불에서 2와 밥을 넣어 밥의 색을 입힌다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00121_3.png,"4. 소금, 후춧가루로 간을 한 뒤 접시에 담아 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-422,recipe-422,1. 육수 재료를 모두 넣고 물 600g과 소금 10g을 넣어 육수를 만든다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00122_1.png,"2. 당근, 시금치는 다져 즙을 만들고, 감자는 삶아서 으깬다.",,"3. 밀가루에 당근 즙, 시금치 즙, 감자를 넣어 각각 반죽하여b 랩에 싸서 30
분 숙성시킨다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00122_3.png,"4. 닭 가슴살, 대파, 마늘, 청양고추, 데친 숙주를 다진 후 물기를 없앤다.",,"5. 당면은 따뜻한 물에 불려 썰고 물기를 제거한다. 두부는 으깨어 물기를
빼고, 양파와 양배추도 다진다.",,"6. 3, 4, 5를 모두 넣고 섞다가 달걀흰자 반을 넣고 저염소금과 참기름으로
간을 하여 소를 만든다.",,"7. 숙성된 만두피를 적당 크기의 원형으로 밀어 6의 소를 넣고 만두를 만
든다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00122_7.png,"8. 육수500g을 끓이다가 만두와 마늘을 넣고 끓여 그릇에 담아 지단과, 홍
고추를 올리고 김 가루를 뿌려 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-423,recipe-423,"1. 마늘, 청양고추, 파인애플, 양파를 다져 된장, 들깨와 함께 섞는다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00123_1.png,2. 현미와 쌀을 1:1로 섞어 따뜻한 물에 불려 밥을 짓는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00123_2.png,"3. 당근은 채 썰고,c 비름나물(또는 시금치)은 잎을 뗀다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00123_3.png,"4. 두부는 길게 썰고, 숙주는 꼬리를 뗀다.",,5. 고기는 핏물을 제거하여 길게 채 썬다.,,6. 달걀은 황백을 분리하여 지단을 부친다.,,"7. 당근과 고기는 센 불에서 볶고, 비름과 숙주, 두부는 데친다.",,"8. 현미밥 위에 준비한 재료들을 가지런히 놓고 소스를 올린 후 참기름을 뿌
려 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-424,recipe-424,"1. 당근과 표고버섯, 고사리는 5cm로 채 썰고, 애호박도 돌려 깎아 5cm로
채 썬다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00124_1.png,2. 우렁은 3등분으로 자르고 1의 재료와 함께 들기름에 볶는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00124_2.png,3. 달걀은 황백으로 나누어 지단을 부쳐 채 썬다.,,4. 북어는 갈아 북어보푸라기를 만든다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00124_4.png,5. 그릇에 밥을 담고 준비된 재료를 올린다.,,6. 베이비채소와 식용 꽃을 올려 완성한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-425,recipe-425,1. 현미와 찹쌀은 씻어서 물에 불린다.,,"2. 물에 뒤포리와 다시마, 간장 1큰술을 넣어 육수를 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00125_2.png,"3. 무와 표고버섯은 채 썰고,b 근대는 말아서 채 썬다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00125_3.png,4. 올리브오일을 두르고 채 썬 무와 표고버섯을 볶다가 참기름을 넣는다.,,5. 불린 현미와 찹쌀에 육수를 넣고 볶은 무와 표고버섯을 올려 밥을 짓는다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00125_5.png,6. 밥에 채 썬 근대를 올려 완성한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-426,recipe-426,1. 시금치와 비트는 할라피뇨는 다진다,,"2. 올리브, 청・홍피망, 양파는 0.5cm두께로 슬라이스한 후 팬에 기름을 두르
고 볶는다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00126_2.png,"3. 시금치, 비트, 잣, 파마산치즈, 올리브오일을 함께 갈아 페스토를 만든다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00126_3.png,4. 가래떡면을 끓는 물에 넣어 삶는다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00126_4.png,5. 샤브육수용 소스와 물을 1:20비율로 섞어 육수를 만든다.,,"6. 가열된 팬에 5의 육수와 삶은 가래떡면, 페스토, 할라피뇨를 넣어 함께 볶
는다.",,7. 볶은 채소와 어린잎을 올려 완성한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-427,recipe-427,"1. 베이컨과, 소시지를 다진다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00127_1.png,2. 다진 베이컨과 소시지는 끓는 물에 데쳐 기름이 없는 팬에 볶는다.,,3. 김치도 다져 물에 행군 후 고춧가루를 넣어 볶는다.,,4. 시금치는 데친 후 다져 참기름과 다진 마늘을 넣어 무친다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00127_4.png,5. 달걀은 부쳐서 다진다.,,6. 김은 참기름을 발라 구워 길게 자른다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00127_6.png,7. 밥과 준비된 재료를 층층이 쌓아 완성한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-428,recipe-428,"1. 홍고추, 풋고추, 생강, 마늘을 모두 다진다.",,"2. 냄비에 물, 레몬즙, 설탕을 끓이고 1의 다진 재료들을 모두 넣어 끓이다가
전분을 넣어 농도를 맞춘다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00128_2.png,"3. 당근과 시금치는 즙을 내어 각각 밀가루에 넣어 반죽하여 두가지색 만두
피를 만든다.",,"4. 칵테일새우는 0.5cm로 썰고, 아욱과 깻잎은 1cm로 채 썬다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00128_4.png,"5. 팬에 올리브오일을 두르고 밥, 건 새우가루, 칵테일새우, 아욱을 함께 볶아
새우볶음밥을 만든다.",,"6. 팬에 올리브오일을 두르고 마늘과 다진 쇠고기를 볶다가 밥, 멸치가루, 깻
잎을 넣어 쇠고기볶음밥을 만든다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00128_6.png,"7. 반죽을 밀대로 밀어 만두피를 만든 후 새우볶음밥은 당근만두피에, 쇠고
기볶음밥은 시금치만두피에 넣어 빚어 찜통에 넣어 쪄낸다.",,8. 접시에 익은 만두를 올리고 소스를 뿌려 완성한다.,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-429,recipe-429,"1. 토마토는 4등분하고, 레디쉬는 슬라이스 한다.",,2. 모짜렐라치즈는 동그랗게 자른다.,,3. 미니파프리카는 반으로 잘라 씨를 뺀다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00204_3.png,4. 폴렌타는 우유와 함께 끓인다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00204_4.png,5. 미니파프리카에 4를 채운다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00204_5.png,"6. 접시에 모짜렐라치즈와 속을 채운 파프리카를 번갈아가며 담고, 샐러드채
소와 토마토, 레디쉬는 섞어서 한쪽에 담는다.",,7. 요거트를 뿌려 완성한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-430,recipe-430,"1. 매실엑기스, 레몬즙을 섞어 매실 드레싱을 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00205_1.png,"2. 청피망, 방울토마토, 양파는 0.4×0.4cm로 썰고, 후춧가루와 올리브오일을
넣어 섞는다.",,"3. 관자를 우유에 담갔다가 건져 잡내를 제거하고 물기를 닦아 올리브오일
과 건바질, 후춧가루를 넣어 재운다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00205_3.png,4. 새우는 꼬리만 남기고 껍질을 벗겨 이쑤시개로 고정시켜 끓는 물에 데친다.,,5. 가열된 팬에 버터를 녹여 관자를 굽는다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00205_5.png,"6. 접시에 청피망, 방울토마토, 양파를 깔고, 새우와 관자를 얹은 뒤 드레싱을
얹어 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-431,recipe-431,1. 믹서에 요거트와 블루베리를 넣고 갈아 드레싱을 만든다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00206_1.png,2. 양상추는 채 썰고 치커리와 어린잎은 4×4cm로 찢는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00206_2.png,3. 방울토마토는 슬라이스 한다.,,4. 청포묵은 0.5×0.5×3cm로 썬다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00206_4.png,5. 청포묵에 밀가루와 달걀물을 묻혀 팬에 부친다.,,"6. 접시에 양상추, 치커리, 어린잎채소, 새싹, 방울토마토 청포묵을 담고 드레
싱을 끼얹어 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-432,recipe-432,1. 시금치는 씻어 찬물에 담근다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00207_1.png,"2. 바나나, 오렌지, 꿀, 오렌지주스(오렌지과즙)를 넣고 갈아 드레싱을 만든다.",,3. 우유는 끓이다가 막이 생기면 불을 줄이고 레몬즙을 넣어 섞는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00207_3.png,4. 3을 면포에 넣고 짜서 수분을 빼 치즈를 만들어 냉장고에 넣는다.,,5. 딸기는 4등분하고 오렌지는 껍질을 벗겨 과육만 자른다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00207_5.png,6. 식빵은 1×5cm로 자른다.,,7. 시금치는 물기를 빼고 접시에 담는다.,,"8. 4의 치즈, 오렌지, 딸기, 식빵을 올리고 드레싱을 뿌려 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-433,recipe-433,"1. 발사믹식초, 고추장, 꿀, 레몬즙을 섞어 끓이다가 올리브오일을 넣어 드레싱을 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00208_1.png,"2. 생 모짜렐라치즈와 토마토, 아보카도는 0.8cm 두께로 썰어 원형 틀로 찍
는다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00208_2.png,3. 참치는 끓는 물에 데쳐 기름기를 제거한 후 면포에 넣고 물기를 짠다.,,4. 바질은 채 썬다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00208_4.png,"5. 틀에 찍어낸 모짜렐라치즈와 토마토, 아보카도를 올리고 그 위에 참치와
바질을 올린 후 드레싱을 뿌린다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-434,recipe-434,"1. 고추장, 매실엑기스, 레몬즙을 섞어 체에 걸러 드레싱을 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00209_1.png,"2. 양상추는 4×4cm로 찢고, 홍파프리카는 모양을 살려 0.3cm로 슬라이스
한다.",,3. 감자는 껍질을 벗겨 삶은 뒤 으깬다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00209_3.png,"4. 으깬 감자에 무염치즈, 우유, 후춧가루를 넣은 뒤 섞어 동그랗게 빚는다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00209_4.png,"5. 4를 밀가루, 계란 노른자, 빵가루 순으로 입혀 180도 기름에 튀긴다",,"6. 양상추와 홍파프리카를 그릇에 담은 뒤, 포테이토 볼과 고추장 드레싱을
뿌려 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-435,recipe-435,"1. 팬에 레드와인, 레몬즙, 설탕을 넣고 졸여 드레싱을 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00210_1.png,2. 청경채와 두릅은 끓는 물에 데쳐 찬물에 식힌다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00210_2.png,"3. 레몬은 부채꼴모양으로 썰고, 가지는 어슷하게 썰어 석쇠에 굽는다.",,4. 슬라이스연어에 크림치즈를 넣고 말아준다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00210_4.png,"5. 접시에 연어, 가지, 레몬, 두릅, 청경채를 담고 드레싱을 뿌려 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-436,recipe-436,1. 황파프리카와 망고를 믹서에 갈아 체에 내린다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00211_1.png,"2. 방울토마토는 2등분해주고, 레디쉬는 슬라이스 한다.",,3. 두릅은 뜨거운 물에 데쳐 찬물에 식힌다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00211_3.png,"4. 보리새우, 양파, 마늘은 다져서 후춧가루, 바질, 달걀흰자를 넣어 섞는다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00211_4.png,5. 원형 틀에 버터를 발라 4번을 채우고 찜통에 넣어 찐다.,,6. 접시에 1을 깔고 어린잎 채소를 올린다.,,"7. 그 위에 새우탬벨을 올린 후 방울토마토, 레디쉬, 어린잎채소, 두릅으로 장식해 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-437,recipe-437,1. 바나나는 껍질을 벗겨 2등분한다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00212_1.png,2. 가열된 팬에 기름을 두르지 않고 바나나를 굽는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00212_2.png,3. 구워진 바나나의 겉면에 설탕을 뿌리고 가열된 팬에 굽는다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00212_3.png,"4. 완성된 바나나를 접시에 담고, 다진 호두를 뿌린다.
(기호에 따라 초코시럽, 캬라멜시럽 등을 뿌려 먹는다.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-438,recipe-438,"1. 오렌지는 속을 파내 컵을 만들고, 오렌지속은 즙을 만든다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00213_1.png,2. 고구마는 삶아서 체에 내린다.,,3. 호두는 기름 없는 팬에 볶아 다진다.,,"4. 가열된 팬에 무염버터를 넣어 녹인 후 고구마를 넣고 볶다가 흑설탕, 다진
호두, 시나몬가루, 넛맥가루, 오렌지 즙과 휘핑크림을 넣어 섞는다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00213_4.png,5. 오렌지컵에 고구마반죽을 채우고 호두를 뿌린다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00213_5.png,6. 175도의 오븐에 넣어 익힌다.,,"7. 오렌지, 딸기, 바나나를 잘라 민트와 레몬즙을 섞는다.",,8. 구워진 오렌지컵에 7을 곁들인다.,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-439,recipe-439,1. 망고와 우유를 섞어 믹서에 갈아 팬에 넣고 끓인다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00214_1.png,2. 딸기와 키위는 0.5×0.5×0.5cm로 썬다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00214_2.png,3. 젤라틴은 녹여서 매실원액과 섞는다.,,4. 3과 4를 섞어서 틀에 넣어 굳힌다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00214_4.png,5. 3의 위에 망고소스를 뿌려 완성한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-440,recipe-440,1. 단호박은 삶아 으깬다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00215_1.png,"2. 양파, 석박지, 파프리카, 가지는 깍둑
썰고, 두부는 으깬다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00215_2.png,"3. 팬에 다진 마늘, 양파, 석박지를 넣어
볶다가 두부를 넣고 수분이 없어질
때까지 볶다가 가지, 파프리카도
넣어 볶는다",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00215_3.png,"4. 밥과 저염된장, 후춧가루를 넣고
볶다가 들기름을 넣어 한 번 더
볶는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00215_4.png,"5. 그릇에 담고 으깬 단호박과
세발나물을 곁들여 마무리한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00215_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-441,recipe-441,"1. 쌀은 30분 정도 불린 뒤 동량의 물에 강황가루를 풀어 완두콩과 함께
넣어 밥을 짓는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00216_1.png,"2. 닭고기를 깨끗이 씻은 후 끓는 물에
살짝 데쳐 기름기를 제거한 뒤 작게
썰어 대추, 수삼과 함께 맛술에 재워
잡냄새를 없앤다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00216_2.png,3. 양파와 당근은 작게 깍둑 썬다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00216_3.png,"4. 팬에 기름을 두른 후 재워둔
닭고기와 당근, 양파를 볶는다",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00216_4.png,"5. 강황밥을 넣고 같이 볶아
마무리한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00216_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-442,recipe-442,"1. 냄비에 육수 재료를 넣고 10분간
끓여 건더기를 건진다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00311_1.png,"2. 애호박은 돌려 깎아 채 썰고, 양파도
채 썰고, 청양고추와 대파는
어슷 썬다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00311_2.png,"3. 토마토는 200g은 잘게 다지고,
100g은 두툼하게 썬다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00311_3.png,"4. 육수에 라면스프와 라면을 넣고
살짝 익힌 뒤 양파, 애호박, 다진
토마토를 넣고 끓인다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00311_4.png,"5. 면이 다 익으면 두툼하게 썬
토마토를 넣고 10초간 더 끓인다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00311_5.png,6. 대파와 청양고추를 올려 마무리한다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00311_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-443,recipe-443,1. 소스를 만든다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00312_1.png,"2. 양상추와 치커리는 굵은 줄기
부분을 빼고 먹기 좋은 크기로 잘게
찢는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00312_2.png,"3. 라면 끓는 물에서 4분간 삶고 체에
건져 찬물에 헹군다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00312_3.png,"4. 닭가슴살을 먹기 좋은 크기로 찢어
면과 함께 섞는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00312_4.png,"5. 그릇에 채소와 면을 담고,
방울토마토도 먹기 좋게 잘라
담는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00312_5.png,"6. 소스와 파슬리가루를 뿌려
마무리한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00312_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-444,recipe-444,"1. 검은깨를 곱게 부숴 빵가루와 섞어
마른 팬에서 볶는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00313_1.png,"2. 라면을 삶아 건져 물기를 제거 한 뒤
달걀물→녹말가루 순서대로 묻힌다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00313_2.png,"3. 다진 쇠고기에 다진 땅콩을 넣어
반죽해 적당한 크기로 빚는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00313_3.png,"4. 반죽을 라면으로 감싸 달걀물→
빵가루 순으로 입혀 튀긴다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00313_4.png,"5. 통계피와 생강을 물(200g)에 넣고
끓여 우려낸 뒤 건더기를 건지고
나머지 소스 재료를 넣고 살짝
조린다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00313_5.png,"6. 발사믹드레싱을 만들어
어린잎채소에 뿌리고, 방울토마토는
반으로 썰어 라면 크로켓과 함께
그릇에 담아 마무리한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00313_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-445,recipe-445,"1. 두부는 사방 3cm 길이와 두께로 잘라 허브
소금을 뿌려 수분을 완전히 빼고 속을 파서
밀가루를 묻힌다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00314_01.png,"2. 소 재료를 골고루 양념해 속을 파준 두부에
채워준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00314_02.png,"3. 채워진 두부를 김을 두른 뒤 팬에 은근하게
구워준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00314_03.png,"4. 고구마, 단호박, 아스파라거스를 편으로
썰어 준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00314_04.png,"5. 마늘과 토마토를 각각 다진 후 오일에 볶다가
레드와인을 넣어 졸인다. 불을 끄기 직전에
버터를 넣어 소스를 만든다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00314_05.png,"6. 채소를 각각 구워주고 구워진 두부스테이크를
담고 레드와인 소스를 뿌려 완성한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00314_06.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-446,recipe-446,"1. 영양부추, 시금치는 먹기 좋게 잘라 물에
담가준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00315_01.png,2. 단호박은 삶아서 체에 내려준다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00315_02.png,"3. 토마토는 곱게 다져주고 시금치도 데친 후
단호박, 연두부와 섞어준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00315_03.png,"4. 연어를 포를 떠서 만들어진 단호박과 연두부를
연어에 돌돌 말아 냉동실에 살짝 얼려준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00315_04.png,5. 소스재료로 소스를 만든다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00315_05.png,"6. 접시에 준비된 채소를 깔고 연어를 올리고
소스를 올려 완성한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00315_06.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-447,recipe-447,1. 브로콜리는 데쳐낸 후 송송 다져준다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00316_01.png,2. 감자는 삶아준 후 체에 내려준다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00316_02.png,"3. 멜론은 씨를 제거하고 껍질을 벗긴 후 믹서에
갈아 체에 내려준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00316_03.png,"4. 체에 내린 감자와 브로콜리 그리고 멜론즙을
함께 섞어준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00316_04.png,"5. 설탕으로 간을 해주고 볼에 담고 요거트로
장식을 해 완성한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00316_05.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-448,recipe-448,"1. 통삼겹살은 어간장, 마늘기름, 로즈마리,
통후추에 재워준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00317_01.png,"2. 양송이, 피망, 파프리카는 먹기 좋게 썰어서
마늘기름에 구워준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00317_02.png,3. 고구마는 먹기 좋게 잘라 기름 없이 구워준다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00317_03.png,"4. 재워 놓은 통삼겹은 작은 크기로 잘라서
건고추를 넣어 물에 데쳐낸다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00317_04.png,5. 모든 재료를 꼬치에 끼워서 살짝 구워준다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00317_05.png,"6. 레몬껍질을 채 썰어서 소스를 만들어주고
꼬치와 함께 완성한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00317_06.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-449,recipe-449,1. 곤약은 세척 후 물기를 빼준다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00318_01.png,"2. 사과는 가늘게 채 썰어 레몬에 살짝 담가 주고,
다진양파도 레몬즙에 살짝 담가준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00318_02.png,"3. 팬에 다진양파를 버터에 볶다가 나머지 볶음
재료를 넣고 볶음양념을 만들어준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00318_03.png,"4. 볶음양념에 곤약 을 넣 어 고들고들하게
볶아준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00318_04.png,"5. 사과를 물기를 완전히 제거하고 소스재료를
섞어 곁들이 소스를 만들어준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00318_05.png,"6. 볶음곤약을 그릇에 담고 그라놀라를 뿌려서
완성한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00318_06.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
